"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2797,683011,"Volpe, Anthony",2797,100,0.243,0.121,0.303,0.364,0.287,0.278,0.238,155,637,87,8.1,2276,88.9,89.18,304,1345,1452,0.29999999999999716,6.49,106,151,111,146,301,322,286,"15.724","-15.724","66.8","7.0",688,486,109,27,7,12,156,22.7,41,6,2.35759,0.58196,0.26768,0.04452,"90.9",154,35.684647302904565,3.941908713692946,2.761627906976744,5.75,-0.81,0.09,2.31,0.292,19,"-0.562173758",0.289,0.332,"0.562173758",0.005,0.0030000000000000027,0.032,0.009,22.6,"38.5",9.03284910941781,7.957454553098279,33.03860137536351,0.5828707375099128,37.1372549766505,26.07317252415368
2780,624413,"Alonso, Pete",2780,100,0.241,0.219,0.276,0.46,0.34,0.343,0.243,146,607,89.8,14.4,2269,89.7,89.97,295,1192,1588,0.29999999999999716,6.5,108,151,124,147,304,326,296,"-16.77","16.77","73.3","7.3",690,440,81,31,0,34,171,24.8,66,9.6,2.28967,0.60796,0.36678,0.06469,"92.8",160,46.46924829157175,13.211845102505695,8.405797101449275,5.76,-0.77,0.15,2.28,0.326,58,"0.60323741",0.329,0.462,"-0.60323741",-0.002,-0.0030000000000000027,-0.002,-0.003,24.7,"38.1",9.212570065048354,-1.3811850114081206,31.4658070248496,0.5372050816696915,38.46621165936835,29.4656476184448
2774,668227,"Arozarena, Randy",2774,100,0.219,0.169,0.275,0.388,0.32,0.321,0.216,120,549,90.4,13.2,2284,89.4,89.51,337,1136,1638,0.09999999999999432,6.42,107,151,120,147,301,326,294,"-14.134","14.134","70.3","7.3",648,384,67,33,0,20,169,26.1,73,11.3,2.30595,0.59633,0.32731,0.06195,"92.1",151,43.60313315926893,8.355091383812011,4.938271604938271,5.69,-0.82,0.28,2.23,0.332,32,"0.509516943",0.332,0.377,"-0.509516943",0.003,0,0.011,-0.001,29.7,"37.7",8.764574581343682,0.14965416193079578,24.733705181503037,0.6725746268656716,35.05367606804762,31.493623584403586
2752,630105,"Cronenworth, Jake",2752,100,0.241,0.149,0.274,0.39,0.315,0.335,0.259,139,577,88.3,13.5,2249,90.1,90.37,212,1238,1514,0.30000000000001137,6.5,115,147,115,151,287,320,304,"-6.261","6.261","67.1","6.9",656,463,90,29,3,17,118,18,61,9.3,2.20088,0.6601,0.41473,-0.21566,"91.4",161,37.03703703703704,7.8431372549019605,5.487804878048781,5.72,-0.81,-0.19,2.46,0.324,36,"0.227507267",0.341,0.42,"-0.227507267",-0.018,-0.017000000000000015,-0.03,-0.02,17.1,"37.1",4.761277941886423,2.7554442498338187,33.25323610694939,0.33987511150758254,34.26591209669792,28.014767528881926
2751,682829,"De La Cruz, Elly",2751,100,0.259,0.212,0.359,0.471,0.349,0.328,0.24,160,618,90.9,9.5,2230,88.6,88.91,398,1193,1558,0.30000000000001137,6.44,114,147,114,150,297,325,299,"-20.035","20.035","72.7","7.2",694,403,89,36,10,25,218,31.4,67,9.7,2.41024,0.53691,0.30132,-0.30132,"92.7",151,45.77114427860697,12.686567164179104,7.348703170028818,5.82,-0.63,-0.01,2.41,0.337,51,"0.728280625",0.32,0.428,"-0.728280625",0.019,0.017000000000000015,0.043,0.021,33.4,"38.7",8.57948940046161,1.0249051366462383,35.256960847673916,0.5049864007252947,38.00385453331289,35.37528248474553
2747,607043,"Nimmo, Brandon",2747,100,0.225,0.175,0.267,0.4,0.321,0.335,0.245,128,570,91.9,11.2,2254,89.9,90.15,288,1232,1515,0.29999999999999716,6.51,116,146,112,150,291,323,303,"-8.061","8.061","71.5","7.2",661,416,77,25,3,23,157,23.8,76,11.5,2.2406,0.64011,0.38346,-0.14827,"92.0",164,47.46987951807229,9.156626506024097,5.748865355521937,5.76,-0.88,-0.04,2.39,0.327,38,"0.293447397",0.346,0.409,"-0.293447397",-0.02,-0.01899999999999996,-0.009,-0.014,23.4,"38.3",5.779742960432433,1.0833338362939684,29.089517938890324,0.4761491760624458,39.93241725612368,27.409139002789995
2739,595777,"Profar, Jurickson",2739,100,0.28,0.179,0.302,0.459,0.365,0.364,0.282,158,564,90.1,12.5,2218,89.3,89.57,213,1250,1489,0.29999999999999716,6.51,114,147,115,150,294,321,297,"-25.109","25.109","69.4","7.2",664,473,105,29,0,24,101,15.2,72,10.8,2.32563,0.58432,0.39109,-0.39109,"92.3",159,44.397463002114165,7.188160676532769,5.120481927710843,5.75,-0.88,-0.09,2.36,0.376,34,"0.916721431",0.38,0.444,"-0.916721431",-0.002,-0.0040000000000000036,0.015,0.001,17,"37.7",7.118717540064015,-1.4567255840818663,32.844349406082706,0.46605504587155966,36.22128345314775,30.0660269330863
2738,623993,"Santander, Anthony",2738,100,0.235,0.271,0.225,0.506,0.345,0.324,0.228,140,595,89.8,22.8,2249,89.7,89.91,272,1362,1376,0.20000000000000284,6.44,115,148,126,150,300,327,298,"-29.22","29.22","71.8","7.1",662,471,69,25,2,44,129,19.5,55,8.3,2.22322,0.65164,0.37402,-0.37402,"91.9",172,41.702127659574465,11.702127659574469,8.308157099697885,5.75,-0.84,-0.05,2.45,0.305,55,"1.067202337",0.301,0.445,"-1.067202337",0.007,0.0040000000000000036,0.061,0.021,20,"38.5",6.883855782542283,-5.03184806069269,26.323592975958768,0.4780600461893764,34.7797143326583,32.360497359982794
2735,608070,"Ramírez, José",2735,100,0.279,0.258,0.265,0.537,0.364,0.329,0.259,173,620,89.2,19.6,2218,88.7,88.96,205,1352,1383,0.29999999999999716,6.43,112,146,125,149,295,324,296,"-31.771","31.771","69.8","7.2",670,544,93,39,2,39,82,12.2,42,6.3,2.43954,0.49642,0.34454,-0.34383,"92.6",167,39.705882352941174,8.63970588235294,7.014925373134329,5.76,-0.99,-0.17,2.24,0.323,47,"1.161645338",0.307,0.453,"-1.161645338",0.02,0.016000000000000014,0.084,0.035,15.2,"37.9",9.017822010714776,-7.6145365652594705,30.566584929672242,0.6042823156225218,32.821188607413376,31.439334351169695
2733,642715,"Adames, Willy",2733,100,0.251,0.211,0.297,0.462,0.342,0.339,0.243,153,610,88.6,20.6,2292,89.7,90.07,399,1352,1381,0.3999999999999915,6.5,107,150,121,146,304,322,293,"-10.766","10.766","72.0","8.1",685,440,88,33,0,32,173,25.3,71,10.4,2.23974,0.63072,0.32499,0.10893,"91.6",171,40.68181818181818,12.045454545454545,7.737226277372263,5.75,-0.82,0.13,2.3,0.328,53,"0.393926089",0.321,0.461,"-0.393926089",0.008,0.007000000000000006,0.001,0.003,29.5,"39.3",15.191287237138006,-0.48934461721791905,33.61390791332474,0.5553857906799083,40.553181360808814,30.098492306386227
2723,641857,"McMahon, Ryan",2723,100,0.242,0.155,0.32,0.397,0.315,0.324,0.243,137,567,92,10.1,2260,89.8,90.25,384,1278,1445,0.5,6.41,116,146,122,151,298,330,307,"2.045","-2.045","70.6","7.1",640,386,89,28,0,20,185,28.9,64,10,2.25214,0.59869,0.33596,-0.13196,"92.1",163,50.13054830287206,10.966057441253264,6.5625,5.75,-0.69,-0.1,2.34,0.32,42,"-0.075100992",0.323,0.414,"0.075100992",-0.001,-0.0030000000000000027,-0.017,-0.009,30,"38.3",7.482826974292059,6.081393823890268,38.016402833232824,0.3885135135135135,40.650228826569645,21.667644556083758
2721,664023,"Happ, Ian",2721,100,0.243,0.199,0.299,0.441,0.341,0.345,0.243,138,569,90.6,15.1,2205,89.4,89.71,348,1249,1472,0.29999999999999716,6.44,116,146,118,149,295,322,299,"-5.459","5.459","70.6","6.9",656,403,77,34,2,25,168,25.6,79,12,2.26994,0.61967,0.44292,-0.44292,"92.2",164,45.27363184079602,11.691542288557214,7.164634146341463,5.76,-0.91,-0.07,2.32,0.34,47,"0.20062477",0.341,0.446,"-0.20062477",0,-0.0010000000000000009,-0.005,-0.004,27.9,"37.1",8.879592228310656,-2.1170987859527943,32.57912490982166,0.42278481012658226,37.44951442609968,32.32832013656041
2719,502671,"Goldschmidt, Paul",2719,100,0.245,0.169,0.308,0.414,0.31,0.329,0.255,147,599,91.2,13.1,2265,89.2,89.62,356,1297,1422,0.3999999999999915,6.49,108,150,123,147,308,327,297,"-3.852","3.852","71.2","7.7",652,428,91,33,1,22,173,26.5,45,6.9,2.3013,0.59889,0.27583,0.03786,"92.4",166,49.76525821596244,10.7981220657277,7.05521472392638,5.74,-0.91,0.2,2.28,0.299,46,"0.141669732",0.309,0.45,"-0.141669732",-0.01,-0.010000000000000009,-0.036,-0.019,27.4,"38.4",10.555405630504994,3.2182415446488988,31.912963275942673,0.5187908496732027,43.586872929994605,19.292810592938917
2713,596019,"Lindor, Francisco",2713,100,0.273,0.227,0.295,0.5,0.363,0.379,0.283,169,618,90.8,16.9,2231,89.4,89.68,313,1322,1391,0.29999999999999716,6.49,116,147,117,150,296,324,300,"-25.476","25.476","70.8","7.5",689,494,96,39,1,33,127,18.4,56,8.1,2.28806,0.62094,0.38026,-0.38235,"92.6",171,47.46450304259635,13.590263691683571,9.724238026124818,5.77,-0.93,-0.06,2.33,0.344,67,"0.939034279",0.353,0.528,"-0.939034279",-0.01,-0.009000000000000008,-0.028,-0.016,23.7,"38.7",12.029957412426448,-0.03831830690017905,34.13398904110283,0.5373376623376623,35.5584892436002,29.32811726973425
2706,656305,"Chapman, Matt",2706,100,0.247,0.216,0.293,0.463,0.34,0.34,0.25,142,575,93.2,16.2,2288,89.4,89.72,284,1207,1499,0.29999999999999716,6.43,108,152,123,147,303,324,297,"-20.753","20.753","74.5","7.4",643,419,74,39,2,27,158,24.6,60,9.3,2.27032,0.61882,0.29515,0.01865,"93.0",164,48.44124700239808,12.709832134292565,8.242612752721618,5.82,-0.77,0.21,2.35,0.323,53,"0.766925351",0.328,0.451,"-0.766925351",-0.003,-0.0050000000000000044,0.012,0,23.5,"38.4",5.61298377252275,-1.1184948459470503,26.102554798080376,0.4926873857404022,39.67612767655115,25.903937180581313
2677,661388,"Contreras, William",2677,100,0.281,0.185,0.33,0.466,0.359,0.358,0.269,167,595,92.8,6.1,2265,89.3,89.62,352,1268,1409,0.29999999999999716,6.49,108,150,122,147,307,323,292,"-29.5","29.5","72.7","7.3",674,459,105,37,2,23,139,20.6,73,10.8,2.31297,0.59205,0.33556,0.08088,"93.3",147,49.45533769063181,10.021786492374728,6.824925816023739,5.79,-0.81,0.19,2.25,0.361,46,"1.101979828",0.351,0.471,"-1.101979828",0.012,0.010000000000000009,-0.005,0.001,27.8,"39.7",9.692122102103134,2.362452981984194,28.109991398166862,0.6198003327787022,36.7775151397753,30.357226297158874
2652,663697,"India, Jonathan",2652,100,0.248,0.144,0.292,0.392,0.333,0.352,0.266,132,533,86.9,13.4,2256,89.3,89.63,195,1017,1635,0.29999999999999716,6.47,109,152,120,147,301,321,289,"-11.103","11.103","69.4","7.1",637,417,87,28,2,15,125,19.6,80,12.6,2.27274,0.62336,0.33578,0.09427,"91.4",152,36.53846153846153,7.6923076923076925,5.023547880690738,5.83,-0.76,0.21,2.32,0.357,32,"0.418665158",0.376,0.412,"-0.418665158",-0.018,-0.019000000000000017,-0.02,-0.019,19.2,"39.3",7.7907345125122855,-0.3935861628156091,29.49354973899658,0.47014115092290987,37.69746899316623,29.094588695588023
2648,682998,"Carroll, Corbin",2648,100,0.231,0.197,0.256,0.428,0.325,0.324,0.241,136,589,88.8,11.5,2243,89.7,89.98,223,1096,1552,0.29999999999999716,6.44,115,146,107,151,294,325,304,"-11.185","11.185","71.5","6.9",684,471,78,22,14,22,130,19,73,10.7,2.22928,0.64734,0.36603,-0.1354,"92.4",144,40.85106382978723,7.234042553191489,4.970760233918129,5.78,-0.64,-0.01,2.35,0.322,34,"0.42239426",0.334,0.391,"-0.42239426",-0.01,-0.01200000000000001,0.037,0.001,20.3,"38.8",5.2108833120560485,0.5359777080350003,22.683154213539208,0.49753208292201384,37.59758095108063,34.41313679498128
2626,543760,"Semien, Marcus",2626,100,0.237,0.154,0.25,0.391,0.306,0.313,0.251,154,650,87.4,17,2272,88.9,89.1,265,1313,1313,0.19999999999998863,6.46,109,152,122,146,304,326,294,"-0.188","0.188","66.3","7.6",716,546,102,27,2,23,105,14.7,62,8.7,2.33002,0.60042,0.26446,0.03518,"91.3",154,35.35911602209944,6.629834254143646,5.027932960893855,5.77,-0.85,0.34,2.22,0.306,36,"0.007159177",0.319,0.391,"-0.007159177",-0.014,-0.013000000000000012,0,-0.007,20.2,"38.4",12.481260876893808,-5.2389520659578785,32.19539970207765,0.5501618122977346,33.83290098022444,30.056556833379467
2621,668715,"Steer, Spencer",2621,100,0.225,0.178,0.26,0.402,0.316,0.314,0.235,129,574,87.9,17.2,2270,89.6,89.99,270,1167,1454,0.4000000000000057,6.49,108,150,121,146,301,322,290,"-8.445","8.445","69.8","7.3",654,439,71,34,4,20,137,20.9,70,10.7,2.25336,0.62168,0.33176,0.11231,"91.6",157,39.95433789954338,6.392694063926941,4.281345565749235,5.83,-0.85,0.25,2.28,0.317,28,"0.322205265",0.326,0.379,"-0.322205265",-0.01,-0.009000000000000008,0.023,0.002,23.1,"38.9",8.701406480875745,-4.365047641289449,28.766463149996365,0.5049954586739328,35.88419852999152,31.946959614166147
2608,606192,"Hernández, Teoscar",2608,100,0.272,0.229,0.344,0.501,0.36,0.346,0.25,160,589,90.6,10.2,2278,89.3,89.65,454,1334,1274,0.29999999999999716,6.46,108,151,123,146,306,324,296,"-26.098","26.098","71.4","7.7",649,402,93,32,2,33,188,29,50,7.7,2.36086,0.54178,0.28329,0.06732,"92.3",164,46.88279301745636,14.962593516209477,9.244992295839753,5.71,-0.95,0.28,2.26,0.336,60,"1.000690184",0.317,0.486,"-1.000690184",0.022,0.019000000000000017,0.015,0.014,34,"37.1",8.339186895052038,2.945874137096893,32.47172055369088,0.4885433715220949,38.60484761338105,28.60064353034638
2604,668804,"Reynolds, Bryan",2604,100,0.275,0.172,0.33,0.447,0.343,0.35,0.27,171,622,89.9,9.4,2206,88.8,89.13,386,1313,1291,0.29999999999999716,6.45,113,147,122,150,300,322,296,"-21.847","21.847","69.7","6.8",689,469,115,29,3,24,156,22.6,54,7.8,2.43433,0.49198,0.38121,-0.38121,"92.0",153,45.610278372591004,9.635974304068522,6.531204644412192,5.71,-0.79,-0.11,2.22,0.341,45,"0.838978495",0.339,0.463,"-0.838978495",0.005,0.0020000000000000018,-0.016,-0.007,29.4,"36.9",11.577646786303427,1.921559501674032,37.92007514857575,0.4385820280296785,36.74647493120378,27.860458741690955
2602,665489,"Guerrero Jr., Vladimir",2602,100,0.323,0.221,0.342,0.544,0.398,0.408,0.321,199,616,93.8,7.4,2267,90.2,90.38,268,1249,1353,0.20000000000000284,6.47,108,151,124,147,305,328,294,"-52.222","52.222","74.5","7.7",685,524,124,44,1,30,96,14,60,8.8,2.18773,0.65857,0.40917,0.13929,"93.8",156,54.875717017208416,13.766730401529637,10.510948905109489,5.73,-1.07,0.16,2.36,0.385,72,"2.00699462",0.384,0.567,"-2.00699462",0.002,0.0010000000000000009,-0.023,-0.01,21.5,"37.4",2.9914532355674264,0.3383273531200158,28.63725883073162,0.3632404181184669,38.47984851110458,31.963189281300657
2600,677951,"Witt Jr., Bobby",2600,100,0.332,0.256,0.354,0.588,0.41,0.407,0.315,211,636,92.7,15.1,2289,89.2,89.62,296,1330,1270,0.3999999999999915,6.46,108,150,120,146,311,328,296,"-57.201","57.201","73.2","7.0",700,538,123,45,11,32,106,15.1,48,6.9,2.315,0.58221,0.19924,0.07073,"93.2",178,48.3271375464684,14.312267657992564,11,5.79,-1.08,0.37,2.28,0.381,77,"2.200038462",0.37,0.576,"-2.200038462",0.017,0.01100000000000001,0.012,0.003,22.3,"40.6",5.233549298097382,-0.5112972147169995,29.61805907621993,0.4564144736842105,34.5423197004388,28.49680249401656
2599,621493,"Ward, Taylor",2599,100,0.246,0.179,0.294,0.426,0.325,0.344,0.251,144,585,90.9,17.4,2305,89.2,89.34,287,1124,1475,0.09999999999999432,6.41,107,151,121,146,307,324,295,"-7.399","7.399","68.0","7.0",663,430,91,26,2,25,163,24.6,63,9.5,2.31736,0.59255,0.23287,0.07762,"91.8",179,42.42424242424242,13.053613053613052,8.446455505279035,5.81,-1.17,0.24,2.35,0.323,56,"0.284686418",0.331,0.458,"-0.284686418",-0.005,-0.008000000000000007,-0.032,-0.019,25.5,"38.3",8.831853938343032,1.2461647000325171,31.267900504645528,0.4918190567853705,37.45059211831981,30.79061723388093
2593,668939,"Rutschman, Adley",2593,100,0.25,0.14,0.272,0.391,0.309,0.315,0.255,143,571,88.2,18.8,2214,89.2,89.38,197,1153,1440,0.20000000000000284,6.45,114,147,125,150,298,325,297,"0.022","-0.022","67.5","6.9",635,475,102,21,1,19,103,16.2,55,8.7,2.33756,0.58801,0.37316,-0.37316,"91.4",169,36.63157894736842,6.105263157894736,4.566929133858268,5.73,-0.8,-0.14,2.32,0.315,29,"-0.000848438",0.322,0.393,"0.000848438",-0.005,-0.007000000000000006,-0.002,-0.006,17.1,"38.3",10.191049009761297,-2.159497667279716,36.27200213817504,0.461044912923923,35.5390733643389,26.9433305847081
2558,691026,"Winn, Masyn",2558,100,0.267,0.148,0.303,0.416,0.315,0.293,0.256,157,587,86,12.9,2265,89.2,89.58,228,1201,1357,0.3999999999999915,6.49,106,150,112,147,305,321,289,"0.979","-0.979","68.0","7.2",635,486,105,32,5,15,109,17.2,39,6.1,2.28215,0.62151,0.28377,-0.03969,"91.2",154,32.78350515463917,3.711340206185567,2.8346456692913384,5.75,-0.64,0.23,2.37,0.312,18,"-0.038272088",0.303,0.358,"0.038272088",0.011,0.009000000000000008,0.058,0.022,19,"38.4",3.7415272170010865,-0.8341050955688727,28.364280357473852,0.38543516873889877,32.76082167292466,32.18602266313915
2542,553993,"Suárez, Eugenio",2542,100,0.256,0.214,0.309,0.469,0.337,0.33,0.247,146,571,89.1,19.5,2266,89.6,89.96,349,1200,1342,0.4000000000000057,6.47,108,151,124,146,303,326,296,"-15.562","15.562","69.9","7.7",640,406,86,28,2,30,176,27.5,49,7.7,2.25483,0.62756,0.3314,0.0412,"91.9",166,42.46913580246914,11.358024691358025,7.187499999999999,5.74,-0.53,0.23,2.33,0.319,46,"0.612195122",0.314,0.447,"-0.612195122",0.009,0.0050000000000000044,0.022,0.007,29.1,"37.7",16.872611538960943,-2.7912851498772424,38.78100942602521,0.48370044052863437,35.530082613729036,32.280636287197396
2534,666969,"García, Adolis",2534,100,0.224,0.176,0.273,0.4,0.296,0.306,0.227,130,580,91,15,2257,89.7,89.86,452,1319,1215,0.20000000000000284,6.42,107,152,123,146,308,329,297,"11.199","-11.199","70.3","7.8",635,409,78,27,0,25,177,27.9,43,6.8,2.21787,0.65996,0.37303,0.11222,"92.2",164,48.28431372549019,12.5,8.031496062992126,5.74,-0.86,0.21,2.36,0.282,51,"-0.441949487",0.286,0.413,"0.441949487",-0.003,-0.0040000000000000036,-0.013,-0.01,34.3,"37.9",9.828739776749439,-0.8113132391832364,29.18399620250358,0.5688671556642216,36.648906543203886,31.917613517764494
